"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"Denali Ventures","Herzliya","Denali Ventures, an investment firm, finances companies with methods for controlling significant disease entities and medical conditions.","https://www.denalivc.com/","-","Late Stage Venture","3 823 737","1998-01-01","https://www.crunchbase.com/organization/denali-ventures","","","","","6","","-"," ","","","","","","","","",""
"Millennium II Materials Technology Fund","Tel Aviv","The Millennium Materials Technologies (MMT) funds were created to invest in the development and commercialization of novel advanced","http://www.mmtfund.com","-","Early Stage Venture, Late Stage Venture","4 006 468","1998-01-01","https://www.crunchbase.com/organization/millennium-ii-materials-technology-fund","","","","","6","","didi@mmtfund.com"," ","","","","","","","","",""
"Biomedical Investments","Tel Aviv","Biomedical Investments focuses its investments on start-ups with breakthrough technologies, applicable in emerging therapeutic segments.","http://www.biomed.co.il/","-","Late Stage Venture","4 076 688","1997-01-01","https://www.crunchbase.com/organization/biomedical-investments","","","","","6","","-"," ","","","","","","","","",""
"Magnum Communications Fund","Tel Aviv","Magnum Communications Fund builds success into young companies through financing, strategic guidance and recruitment of senior management.","http://magnumvc.com/","-","Early Stage Venture, Venture","4 133 836","","https://www.crunchbase.com/organization/magnum-communications-fund","","","","","6","","-"," ","","","","","","","","",""
"Takwin Ventures","Haifa","Venture capital fund, invest in hi-tech companies founded or co-founded by brilliant technology Arab entrepreneurs, in Israel.","https://www.takwinventures.com","https://www.linkedin.com/company/takwin-vc/","Early Stage Venture, Seed","101 723","2014-01-01","https://www.crunchbase.com/organization/takwin-labs","","","","","5","1","fadi@takwinventures.com"," ","","","","","","","","",""
"Technion DRIVE Accelerator","Haifa","The Technion DRIVE Accelerator is a 9 month funding and acceleration program for pre-seed and seed companies.","https://www.techniondrive.com","https://www.linkedin.com/company/technion-drive-accelerator","Seed","122 914","","https://www.crunchbase.com/organization/technion-drive-accelerator","","","","","5","4","Drive@technion.ac.il"," ","","","","","","","","",""
"Selah Ventures","Tel Aviv","Selah Ventures is a pre-seed/ seed stage fintech focused VC fund, investing in exceptional teams from Israel and the US.","https://www.selahvc.com/","https://www.linkedin.com/company/selahventures","Seed","133 413","2022-01-01","https://www.crunchbase.com/organization/selah-ventures","","","","","5","","-"," ","","","","","","","","",""
"Unicorn Technologies","Tel Aviv","Unicorn Technologies is a public partnership for investment in research and development and innovation companies in the initial stages.","https://unicorn-technologies.co.il/","https://www.linkedin.com/company/unicorn-technologies-limited-partnership/","Early Stage Venture, Seed","197 605","","https://www.crunchbase.com/organization/unicorn-technologies","","","","","5","2","-"," ","","","","","","","","",""
"The Garage","Tel Aviv","Building and investing in early-stage startups that tackle the world's biggest challenges in fintech, AI and cyber.","https://www.thegarage.vc/","https://www.linkedin.com/company/thegaragevc/","Early Stage Venture, Seed","272 909","2021-11-01","https://www.crunchbase.com/organization/the-garage-d6ef","","","","","5","3","info@grgve.com"," ","","","","","","","","",""
"Izaki Ventures","Tel Aviv","Angel investor, focusing on Climatech, Energy, Food, Agriculture, and Supply Chain startups.","https://www.izakivc.com/","https://www.linkedin.com/company/izaki-ventures","Convertible Note, Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture","313 833","","https://www.crunchbase.com/organization/izaki-ventures","","","","","5","","-"," ","","","","","","","","",""
"Access Medical Ventures","Tel Aviv","Access Medical Ventures is a U.S based venture capital fund that focuses specifically on investing and advancing medical device start-ups.","http://accessmv.com","-","-","439 411","2010-01-01","https://www.crunchbase.com/organization/access-medical-ventures","","","","","5","2","-"," ","","","","","","","","",""
"Parnasa VC","Jerusalem","A relatively new micro VC .We invest at seed pre-seed start ups, active in , HR,Mobile,Travel, Ad tech,Medical, Web, and more.","http://www.parnasa.org.il","-","Crowdfunding, Seed","450 215","2014-01-01","https://www.crunchbase.com/organization/besadno-investment-group","","","","","5","","eliyahua@parnasavc.vom"," ","","","","","","","","",""
"Wix Capital","Tel Aviv","Wix Capital is a fund that invests in early-stage companies that offer significant industry opportunities to shape the future of the web.","https://www.wix.com/wix-capital","https://www.linkedin.com/company/wix-com/?trk=biz-companies-cym","-","540 850","2020-01-01","https://www.crunchbase.com/organization/wix-capital","","","","","5","1","wixcapital@wix.com"," ","","","","","","","","",""
"Net Capital Ventures","Ramat Gan","Net Capital Ventures is an investment and advisory firm that specializes in innovation industries.","https://www.netcapitalventures.com","https://www.linkedin.com/company/net-capital-ventures/","Early Stage Venture","557 607","2017-01-01","https://www.crunchbase.com/organization/net-capital-ventures","","","","","5","3","orit@netcapitalventures.com%20"," ","","","","","","","","",""
"Booster Ventures","Netanya","Booster joint venture is a team of experienced operators who are focused on cutting-edge tech startups.","https://booster.ventures","-","Early Stage Venture, Seed","578 040","2021-01-01","https://www.crunchbase.com/organization/booster-ventures","","","","","5","2","-"," ","","","","","","","","",""
"Nevateam Partners","Herzliya","Nevateam Ventures is an Agri-Food Tech ESG Impact driven Fund with world-class knowledge and expertise.","https://www.nevateam.vc/","https://www.linkedin.com/company/nevateam/","Early Stage Venture, Seed, Venture","582 894","2022-09-01","https://www.crunchbase.com/organization/nevateam-ventures","","","","","5","1","office@nevateam.vc"," ","","","","","","","","",""
"Teramips Technologies","Ramat Gan","Teramips Technologies ltd. was established in 2002.","http://www.teramips.com","https://www.linkedin.com/company/teramips","-","583 829","2002-01-01","https://www.crunchbase.com/organization/teramips-technologies","","","","","5","1","-"," ","","","","","","","","",""
"SureTech Investments","Tel Aviv","Investing in promising Early stage Fintech and Insurtech companies","https://suretech.vc/","https://www.linkedin.com/company/suretech-investments/","Early Stage Venture, Seed","601 558","2021-04-01","https://www.crunchbase.com/organization/sure-tech-investments","","","","","5","2","doron@suretech.vc"," ","","","","","","","","",""
"Impact First Investments","Herzliya","Impact First Investments is the first Israeli impact venture capital fund with the trifold aim to bolster Israeli technology,","http://impact1st.com/","https://www.linkedin.com/company/impact-first-investments/","Seed, Venture","728 445","2011-01-01","https://www.crunchbase.com/organization/impact-first-investments","","","","","5","1","-"," ","","","","","","","","",""
"5 Eyes Ventures","Tel Aviv","Investing in Israeli startups from day 1","http://www.the5eyes.com","https://www.linkedin.com/company/5eyes/","Early Stage Venture","847 588","2020-01-01","https://www.crunchbase.com/organization/5eyes","","","","","5","1","ohad@the5eyes.com"," ","","","","","","","","",""
"Launch It Capital Ltd.","Tel Aviv","A private investment fund situated in Tel Aviv, established for the purpose of investing in start-ups during their early stage phases.","-","https://www.linkedin.com/company-beta/17973817/","Seed","1 447 856","2017-01-01","https://www.crunchbase.com/organization/launch-it-capital-ltd","","","","","5","","maoz@naim.co.il, shacharR@ron-ai.com"," ","","","","","","","","",""
"Menara Ventures (TASE: MNRA)","Tel Aviv","Menara Ventures is a publicly traded VC investing in early-stage Digital Transformation startups (TASE: MNRA)","https://menaraventures.com/","https://www.linkedin.com/company/menara-venture","Convertible Note, Early Stage Venture, Seed","2 547 334","2021-01-01","https://www.crunchbase.com/organization/menara-ventures","","","","","5","3","-"," ","","","","","","","","",""
"Corundum Open Innovations","Herzliya","Corundum Open Innovations is a venture capital firm that invests in ICT and life sciences companies and funds.","http://www.corundumoi.com/","-","Early Stage Venture, Late Stage Venture","2 861 145","2015-01-01","https://www.crunchbase.com/organization/corundum-open-innovation","","","","","5","","-"," ","","","","","","","","",""
"Foodlab Capital","Tel Aviv","Investing in companies at the forefront of Foodtech","http://foodlabcapital.com/","https://www.linkedin.com/company/foodlab-capital","-","3 033 734","2014-04-01","https://www.crunchbase.com/organization/foodlab-capital","","","","","5","1","info@foodlabcapital.com"," ","","","","","","","","",""
"Sadot Research and Development","Tel Aviv","Sadot Research and Development Fund Ltd is a principal investment firm specializing in seed stage, early stage, and buyouts.","http://www.sadot.co.il","-","-","4 040 226","","https://www.crunchbase.com/organization/sadot-research-and-development","","","","","5","","-"," ","","","","","","","","",""
"Mofet Venture Capital","Tel Aviv","Mofet Venture Capital Management focuses on venture investments in early to mid stage hi-tech Israeli companies.","http://www.mofet.co.il","-","-","4 050 890","1993-01-01","https://www.crunchbase.com/organization/mofet-venturecapital","","","","","5","1","cm-yk.co.il@cm-yk.co.il"," ","","","","","","","","",""
"ITI Venture Capital Partners","Tel Aviv","ITI is an entrepreneurial capital partner to visionary Israeli founders building technology companies that are changing the world.","https://www.itivcp.com/","https://www.linkedin.com/company/itivcp/","Early Stage Venture, Late Stage Venture","91 896","2017-01-01","https://www.crunchbase.com/organization/iti","","","","","4","2","info@ITIVCP.com"," ","","","","","","","","",""
"Israel Secondary Fund (ISF)","Herzliya","ISF brings liquidity to stakeholders in the Venture Capital and Private Equity community.","http://www.israelsecondary.com/","https://www.linkedin.com/company/israel-secondary-fund?trk=biz-companies-cym","Late Stage Venture, Secondary Market, Venture","99 385","2008-01-01","https://www.crunchbase.com/organization/israel-secondary-fund-isf","","","","","4","","info@israelsecondary.com"," ","","","","","","","","",""
"Agrinnovation","Jerusalem","Agrinnovation is an investment fund focused on agricultural inventions.","http://www.agri-nnovation.com","-","Seed","122 846","2015-01-01","https://www.crunchbase.com/organization/agrinnovation-fund","","","","","4","1","-"," ","","","","","","","","",""
"Maple Capital","Tel Aviv","Maple is an operators VC based in Tel-Aviv focused on enterprise infrastructure.","http://www.mpl.vc","https://www.linkedin.com/company/maple-cap/","Early Stage Venture, Seed","264 354","2022-03-01","https://www.crunchbase.com/organization/maple-capital","","","","","4","1","-"," ","","","","","","","","",""
"q fund","Herzliya","q fund delivers comprehensive technology solutions and invests in Seed to Series A firms.","https://www.qfund.io","https://www.linkedin.com/company/q-fund","Early Stage Venture","273 739","","https://www.crunchbase.com/organization/q-fund","","","","","4","1","-"," ","","","","","","","","",""
"Peak Ventures","Tel Aviv","Independent, international consulting firm","https://peak-fund.com/","https://www.linkedin.com/company/peak-ventures-investments/","Seed","330 088","2022-01-01","https://www.crunchbase.com/organization/peak-ventures-6e76","","","","","4","","-"," ","","","","","","","","",""
"Random Forest Ltd","Tel Aviv","Random Forest Ltd invests in early-stage startups and provides venture capital, mentorship, and business development support.","https://www.randomforestvc.com/","https://www.linkedin.com/company/random-forest-fund/","Early Stage Venture","386 696","2018-01-01","https://www.crunchbase.com/organization/random-forest-ltd","","","","","4","1","hila@randomforestvc.com"," ","","","","","","","","",""
"Gravity Climate Fund","Tel Aviv","Gravity is a venture capital firm that focuses on early-stage investments in climate technologies.","https://www.gravityclimatech.com/","https://www.linkedin.com/company/gravity-climate-fund","-","430 055","2024-01-01","https://www.crunchbase.com/organization/gravity-climate-fund","","","","","4","2","info@gravityclimatech.com"," ","","","","","","","","",""
"Milk & Honey Ventures","Tel Aviv","Tel-Aviv based investment firm, focused on the effective acceleration of disruptive New Protein technologies","https://mnhventures.com","https://www.linkedin.com/company/milk-honey-ventures/","-","474 327","2021-01-01","https://www.crunchbase.com/organization/milk-honey-ventures","","","","","4","","-"," ","","","","","","","","",""
"Goldrock Capital","Bet Shemesh","Multi Family Office","http://www.goldrockcap.com","https://www.linkedin.com/company/goldrock-capital/","Debt, Private Equity, Venture","502 741","1998-01-01","https://www.crunchbase.com/organization/goldrock-capital","","","","","4","1","Admin@goldrockcap.com"," ","","","","","","","","",""
"GC Ventures","Herzliya","GC Ventures funds early stage start-ups in real estate and real estate adjacent industries","https://www.gelfandvc.com/","https://www.linkedin.com/company/gelfandcapital/?viewAsMember=true","Early Stage Venture, Seed","532 387","2020-10-01","https://www.crunchbase.com/organization/gc-ventures-17be","","","","","4","","Roy@gel-fund.com"," ","","","","","","","","",""
"New Gate Capital","Tel Aviv","New Gate Capital is a gateway to tech investments in Israel.","https://www.newgate.capital","https://www.linkedin.com/company/newgatecapital","-","928 882","","https://www.crunchbase.com/organization/new-gate-capital","","","","","4","1","-"," ","","","","","","","","",""
"Rimonim Fund","Kefar Vitkin","Rimonim Fund primarily invests in early and mid-stage companies that develop agricultural technologies.","https://www.rimonimfund.com/","https://www.linkedin.com/in/rimonim-agro-fund-29a613160/","Early Stage Venture","1 174 798","2017-01-01","https://www.crunchbase.com/organization/rimonim-fund-78cc","","","","","4","2","anat@rimonimfund.com"," ","","","","","","","","",""
"Sherpa InnoVentures","Tel Aviv","Sherpa InnoVentures is an innovation-focused investment fund that invests in highly innovative technological companies.","https://www.sherpa-innoventures.com","https://www.linkedin.com/company/sherpa-innoventures/","Early Stage Venture","2 299 560","","https://www.crunchbase.com/organization/sherpa-innoventures","","","","","4","2","hanni@sherpa-innoventures.com"," ","","","","","","","","",""
"Tectona","Ramat Gan","Tectona is dedicated To Creating, Trading & Investing In Digital Assets.","https://tectona.io/","https://www.linkedin.com/company/tectona_ltd/","Seed, Venture","2 380 819","2021-01-01","https://www.crunchbase.com/organization/tectona","","","","","4","2","investors@tectona.io"," ","","","","","","","","",""
"Previz Ventures","Herzliya","Previz Ventures is a venture capital fund that finances technology-driven companies in the areas of medical device and healthcare ICT.","http://www.previzv.com","-","Early Stage Venture","3 175 236","2014-01-01","https://www.crunchbase.com/organization/previz-ventures","","","","","4","2","-"," ","","","","","","","","",""
"Naiot Venture Accelerator","Yoqne`am `illit","Naiot Venture Accelerator is an early-stage investor that helps entrepreneurs to translate ideas into commercially-viable businesses.","http://www.naiot.com","https://www.linkedin.com/company/naiot-venture-accelerator/","Seed","3 199 119","1997-01-01","https://www.crunchbase.com/organization/naiot-venture-accelerator","","","","","4","4","webmaster@abital.co.il"," ","","","","","","","","",""
"Neurone Ventures","Tel Aviv","Neurone Ventures operates as a venture capital firm specializing in seed and early ventures.","-","-","Early Stage Venture, Seed","3 744 993","1997-01-01","https://www.crunchbase.com/organization/neurone-ventures","","","","","4","2","-"," ","","","","","","","","",""
"Granot Ventures","Tel Aviv","Granot Ventures is a private Israeli boutique investment firm.","https://www.granot-ventures.com/","https://www.linkedin.com/company/granot-ventures/","Early Stage Venture, Seed","3 956 741","","https://www.crunchbase.com/organization/granot-ventures","","","","","4","1","Info@granot-ventures.co.il"," ","","","","","","","","",""
"Microdent","Tel Aviv","Microdent is an Israeli venture capital firm that invests in high technology companies.","-","-","Late Stage Venture","4 186 136","1976-01-01","https://www.crunchbase.com/organization/microdent","","","","","4","","-"," ","","","","","","","","",""
"FLORA Ventures","Tel Aviv","Early stage VC fund backing the best purpose-led entrepreneurs transforming the AgriFood & Sustainability industries","http://www.floravc.com","https://www.linkedin.com/company/flora-ventures/","Early Stage Venture, Seed","44 568","2023-02-01","https://www.crunchbase.com/organization/flora-ventures","","","","","3","1","gil@floravc.com"," ","","","","","","","","",""
"Sanara Capital","Ra'anana","Sanara Capital is a Health-Tech fund, focusing on Israeli digital health, bio-convergence and medical devices startups.","https://sanaracapital.com/","https://www.linkedin.com/company/sanara-ventures/?originalSubdomain=il","Early Stage Venture, Seed","466 099","","https://www.crunchbase.com/organization/sanara-capital","","","","","3","2","-"," ","","","","","","","","",""
"Elements° VC","Tel Aviv","Elements° VC is a cutting-edge investment company that primarily focuses on early-stage Climatech entrepreneurs.","https://www.elements.vc/","https://www.linkedin.com/company/elements-vc","Late Stage Venture","674 058","","https://www.crunchbase.com/organization/elements-vc","","","","","3","","-"," ","","","","","","","","",""
"Gulliver Investment Group","Or Yehuda","Gulliver Investment Group is an investment group in online travel, managing a portfolio of highly-branded companies and ventures.","https://www.gullivergroup.co.il/","https://www.linkedin.com/company/marcom-investments-&-technology-ltd-/","Seed","708 388","2001-01-01","https://www.crunchbase.com/organization/gulliver-investment-group","","","","","3","2","info@egulliver.com"," ","","","","","","","","",""
"NGN Partners","Tel Aviv","NGN Partners is a business development company.","https://www.ngnpartners.com","https://www.linkedin.com/company/ngn-partners/","Early Stage Venture","786 407","2018-01-01","https://www.crunchbase.com/organization/ngn-partners","","","","","3","1","contact@ngnpartners.com"," ","","","","","","","","",""
"LGiLab","Herzliya","Operating since May06, The LightSpeed Gemini Internet Lab is dedicated to funding companies that are at the earliest stages, supporting","http://www.lgilab.com","-","Early Stage Venture, Seed","964 325","2006-05-01","https://www.crunchbase.com/organization/lgilab","","","","","3","1","info@lgilab.com"," ","","","","","","","","",""
"ESIL - Environmental Sustainability Innovation Lab","Haifa","ESIL is a platform for establishing breakthrough sustainable innovation solutions.","https://esil.co.il/","https://www.linkedin.com/company/esil-environmental-sustainability-innovation-lab/","Seed","1 099 806","2020-01-01","https://www.crunchbase.com/organization/esil-environmental-sustainability-innovation-lab","","","","","3","1","office@esil.co.il"," ","","","","","","","","",""
"Yelin Lapidot Investment House","Tel Aviv","Yelin Lapidot Investment House is a company that provides property management and investment services.","https://www.yl-invest.co.il","https://www.linkedin.com/company/yelin-lapidot-investment-house","-","2 413 533","2004-01-01","https://www.crunchbase.com/organization/yelin-lapidot-investment-house","","","","","3","1","-"," ","","","","","","","","",""
"AquAgro Fund","Tel Aviv","AquAgro Fund is an Israeli venture capital fund focused on investments in water and agriculture technologies.","http://www.aquagrofund.com","https://www.linkedin.com/company/aquagro-fund-lp","Early Stage Venture","2 543 807","2008-01-01","https://www.crunchbase.com/organization/aquagro-fund","","","","","3","2","-"," ","","","","","","","","",""
"Wingate Ventures","Tel Aviv","Wingate Ventures creates synergies between technology solution providers, advertisers, publishers and marketers in online industries.","http://www.wingateventures.com","-","Seed","3 074 267","2007-01-01","https://www.crunchbase.com/organization/wingate-ventures","","","","","3","","-"," ","","","","","","","","",""
"Blue Fund","Herzliya","Blue Fund is a venture capital company based in Israel that finances early stage investments.","http://theblue.fund/","-","Early Stage Venture","3 332 812","2014-01-01","https://www.crunchbase.com/organization/blue-fund","","","","","3","","-"," ","","","","","","","","",""
"7 Health Ventures","Herzliya","7 Health Ventures is a Herzliya-based venture capital firm specialized in investments across all development stages.","http://www.7healthventures.com","-","Early Stage Venture","3 405 975","","https://www.crunchbase.com/organization/7-helath-ventures","","","","","3","","-"," ","","","","","","","","",""
"Triventures ARC","Herzliya","Triventures ARC is the seed investment arm of Triventures","https://www.triventures.vc/arc","https://www.linkedin.com/company/triventures/?originalSubdomain=il","Early Stage Venture, Seed, Venture","3 652 524","2019-01-01","https://www.crunchbase.com/organization/triventures-arc","","","","","3","1","-"," ","","","","","","","","",""
"Van Leer Ventures Jerusalem","Jerusalem","Van Leer Ventures Jerusalem is an Israeli early stage investment company focused on entrepreneurs with innovative technology-related ideas.","http://www.vlvj.co.il","-","Early Stage Venture, Seed","3 682 401","1992-01-01","https://www.crunchbase.com/organization/van-leer-ventures-jerusalem","","","","","3","3","admin@vlvj.co.il"," ","","","","","","","","",""
"BCS Growth Fund","Tel Aviv","Private venture fund based in Israel","-","-","Early Stage Venture","3 967 464","","https://www.crunchbase.com/organization/bcs-growth-fund","","","","","3","1","-"," ","","","","","","","","",""
"Shohet & Cie","Tel Aviv","Shohet & Cie provides portfolio management and financial engineering for private groups.","http://www.shohet-familyoffice.org","-","-","4 002 066","","https://www.crunchbase.com/organization/shohet-cie","","","","","3","","michael.shohet@shohet-familyoffice.org"," ","","","","","","","","",""
"Ofakim Hi-Tech Ventures","Ofakim","Ofakim Hi-Tech Ventures was founded in 1991","http://www.ohv.co.il/asp/index.asp","-","-","4 021 581","1991-01-01","https://www.crunchbase.com/organization/ofakim-hi-tech-ventures","","","","","3","2","-"," ","","","","","","","","",""
"Argoquest","Tel Aviv","Argoquest has been engaged in identifying, funding, developing and managing a network of cutting-edge technology companies.","http://www.argoquest.com","-","-","4 034 978","1997-01-01","https://www.crunchbase.com/organization/argoquest","","","","","3","","info@argoquestgroup.com"," ","","","","","","","","",""
"Heznek Fund","Jerusalem","Heznek Fund is an Israeli venture capital firm that offers seed, startup, and growth capital financing solutions.","-","-","-","4 084 728","","https://www.crunchbase.com/organization/heznek-fund","","","","","3","1","-"," ","","","","","","","","",""
"Technorov Holdings","Tel Aviv","Technorov Holdings focuses on computer related, information technology, media and telecommunications industries.","-","-","-","4 114 617","","https://www.crunchbase.com/organization/technorov-holdings","","","","","3","","-"," ","","","","","","","","",""
"Jerusalem Capital","Jerusalem","Jerusalem Capital is a venture capital fund.","http://www.jerusalemcapital.ne","-","Early Stage Venture, Late Stage Venture","4 116 046","1996-01-01","https://www.crunchbase.com/organization/jerusalem-capital","","","","","3","1","jacob@jerusalemcapital.net"," ","","","","","","","","",""
"Copia Agro & Food","Herzliya","COPIA Agro & Food Technologies (COPIA) is an Israeli impact fund .","http://copia-agro.com","https://www.linkedin.com/company/copia-agro-and-food/","-","96 702","2014-01-01","https://www.crunchbase.com/organization/copia-agro-food","","","","","2","2","info@copia-agro.com"," ","","","","","","","","",""
"Sweetwood Capital","Herzliya","Sweetwood Capital provides asset management and investment advisory services.","https://www.sweetwoodcapital.com/","https://www.linkedin.com/company/sweetwood-capital/","Late Stage Venture, Venture","208 358","2011-01-01","https://www.crunchbase.com/organization/sweetwood-capital","","","","","2","","-"," ","","","","","","","","",""
"Protego Ventures","Herzliya","Protego Ventures is an Israeli venture capital fund that invests in next-generation defense technologies.","https://www.protego.vc","https://www.linkedin.com/company/protego-ventures","Early Stage Venture","244 480","","https://www.crunchbase.com/organization/protego-ventures","","","","","2","2","info@protego.vc"," ","","","","","","","","",""
"Asor Capital","Tel Aviv","Asor Capital provides investment management services focused on private equity, venture investments, and portfolio advisory activities.","http://asorcapital.com/","https://www.linkedin.com/company/asor-capital/?viewAsMember=true","Convertible Note, Early Stage Venture, Secondary Market, Seed","459 355","2015-01-01","https://www.crunchbase.com/organization/asor-capital","","","","","2","1","Yeor@asorcapital.com"," ","","","","","","","","",""
"Kidron","Tel Aviv","Kidron Capital Assets LP is the Women's Health Venture Capital Fund.","https://kidron-capital.com","https://www.linkedin.com/company/kidron-capital-assets-lp","-","507 514","2021-01-01","https://www.crunchbase.com/organization/kidron-11a9","","","","","2","","-"," ","","","","","","","","",""
"Windare Ventures","Herzliya","Windare Ventures is a home for outstanding Cyber-tech and Agrifood-tech companies.","http://windare.com/","-","-","519 156","","https://www.crunchbase.com/organization/windare-ventures","","","","","2","2","info@windare.com"," ","","","","","","","","",""
"Valitas Ventures","Herzliya","Valitas Ventures is a venture capital firm.","https://valitasventures.com","https://www.linkedin.com/company/valitas-ventures/?trk=similar-pages","Early Stage Venture","571 174","2022-01-01","https://www.crunchbase.com/organization/valitas-ventures","","","","","2","1","-"," ","","","","","","","","",""
"Palsar Ventures","Herzliya","Investing in Tomorrow’s Digital Entrepreneurs","https://palsar.vc","https://www.linkedin.com/company/palsar/","Early Stage Venture","597 242","2022-01-01","https://www.crunchbase.com/organization/palsar-ventures","","","","","2","1","contact@palasr.vc"," ","","","","","","","","",""
"AND Ventures","Herzliya","AnD Ventures is a venture capital firm that invests in early stage startups powered by technologies.","https://www.and-ventures.com/","https://www.linkedin.com/company/and-ventures/","Early Stage Venture","611 504","2020-01-01","https://www.crunchbase.com/organization/and-ventures-9dcf","","","","","2","","-"," ","","","","","","","","",""
"Malbec Ventures","Tel Aviv","Malbec Ventures is an early-stage venture capital firm operating as a partnership with a focus on cross-border innovation.","-","https://www.linkedin.com/company/malbec-ventures","-","658 785","2025-01-01","https://www.crunchbase.com/organization/malbec-ventures","","","","","2","","-"," ","","","","","","","","",""
"NGT Healthcare II","Nazareth","NGT is a venture capital entity and technology incubator that invests in entrepreneurs from early-stage healthcare startups.","https://ngt-healthcare2.com/","https://www.linkedin.com/company/ngt-health/","Early Stage Venture, Seed","672 443","2013-01-01","https://www.crunchbase.com/organization/ngt-healthcare-ii","","","","","2","","info@ngt-healthcare2.com"," ","","","","","","","","",""
"Shibolet Capital","Tel Aviv","Shibolet Capital is a world spanning organization specializing in financial areas.","http://www.shibolet.com","https://www.linkedin.com/company/107846","-","862 503","1973-01-01","https://www.crunchbase.com/organization/shibolet-capital","","","","","2","","-"," ","","","","","","","","",""
"Tonbo Ventures","Ra'anana","Tonbo Ventures offers multi-stage investments throughout our Programs. We focus on early-stage Israeli Climatech ventures.","https://www.tonboventures.com/","https://www.linkedin.com/company/tonbo-ventures","Early Stage Venture, Seed","1 069 871","2021-01-01","https://www.crunchbase.com/organization/tonbo-ventures","","","","","2","","contact@tonboventures.com"," ","","","","","","","","",""
"Om Maya","Tel Aviv","Om Maya is a venture capital and private equity firm that focuses on venture investments.","https://om-maya.com/","https://www.linkedin.com/company/om-maya/about/?viewAsMember=true","Early Stage Venture, Private Equity, Venture","1 132 582","2017-01-01","https://www.crunchbase.com/organization/om-maya","","","","","2","1","gideon@om-maya.com"," ","","","","","","","","",""
"GNB Venture","Tel Aviv","GNB Venture is an omnichannel investment firm that aims to be at the forefront of Israeli e-Commerce innovation.","http://www.gnbventure.com","https://www.linkedin.com/company/gnb-ventures/?viewAsMember=true","Early Stage Venture, Seed, Venture","1 156 117","2015-03-01","https://www.crunchbase.com/organization/gnb-venture","","","","","2","","ben@gnbventure.com"," ","","","","","","","","",""
"TechnoPlus Ventures","Tel Aviv","TechnoPlus Ventures Ltd., an investment company with a highly diverse portfolio, commenced its investment activities in 1997 and has been","http://www.technoplusvc.com","https://www.linkedin.com/company/technoplus-limited","-","2 156 386","1997-01-01","https://www.crunchbase.com/organization/technoplus-ventures","","","","","2","","info@technoplusvc.com"," ","","","","","","","","",""
"Amiti Capital","Tel Aviv","Amiti is a venture capital firm that co-invests with leading Israeli venture capital firms in Israeli tech companies.","http://www.amiticapital.com/","https://www.linkedin.com/company/amiti","-","2 857 616","2010-01-01","https://www.crunchbase.com/organization/amiti-capital","","","","","2","1","-"," ","","","","","","","","",""
"IMA","Tel Aviv","IMA is a startup eco-system that facilitates business between operators, banks, insurance, Retail,innovative startups and product companies.","http://www.imaworld.org/","https://www.linkedin.com/company/israel-mobile-association/","-","3 231 147","2002-01-01","https://www.crunchbase.com/organization/ima-487e","","","","","2","","-"," ","","","","","","","","",""
"Einav Hi-Tech Assets","Tel Aviv","Einav Hi-Tech Assets is a venture capital firm based in Tel Aviv, Israel.","-","-","Early Stage Venture","3 598 339","1996-01-01","https://www.crunchbase.com/organization/einav-hi-tech-assets","","","","","2","","-"," ","","","","","","","","",""
"T-SYTE","Herzliya","Digital Health Accelerator","https://t-syte.com/","https://www.linkedin.com/company/t-syte","Early Stage Venture, Seed","3 698 511","2018-01-01","https://www.crunchbase.com/organization/t-syte","","","","","2","2","-"," ","","","","","","","","",""
"Zoticon BioVentures","Rehovot","Zoticon has invested over $100 million to date in promising phase III therapeutics including two oncology products and a cardiovascular","http://www.zoticon.com","-","Seed","3 753 894","","https://www.crunchbase.com/organization/zoticon-bioventures","","","","","2","2","-"," ","","","","","","","","",""
"CLP-OSEG","Giv'atayim","CLP-OSEG is a joint venture between CLP Innovation Ventures (Israel) Limited and Other Sources Energy Group (OSEG).","https://clp-oseg.com/","-","Early Stage Venture","3 809 265","2017-01-01","https://www.crunchbase.com/organization/clp-oseg","","","","","2","1","info@clp-oseg.com"," ","","","","","","","","",""
"Discount Investment","Tel Aviv","Discount Investment Corp. is one of the largest and most prominent holding company.","http://www.dic.co.il","https://www.linkedin.com/company/discount-investment-corp-ltd","Late Stage Venture","3 950 376","1961-01-01","https://www.crunchbase.com/organization/discount-investment-corp","","","","","2","","Gadi.veinrib@dic.co.il"," ","","","","","","","","",""
"Merchavia","Bene Beraq","Merchavia is an investment company specializing in investing in life science companies","https://merchavia.com/","https://www.linkedin.com/company/merchavia-holdings-and-investments-ltd/","Venture","4 005 830","","https://www.crunchbase.com/organization/merchavia","","","","","2","1","-"," ","","","","","","","","",""
"Steps Ventures","Tel Aviv","Steps Ventures is a venture capital investment firm specializing in seed, startup, early venture, mid venture, late venture.","-","-","Early Stage Venture","4 026 216","1992-01-01","https://www.crunchbase.com/organization/steps-ventures","","","","","2","","-"," ","","","","","","","","",""
